Questions,Answer,1 Distractor,2 Distractor,3 Distractor,4 Distractor
এক মাসে ২০০০০ মেট্রিক টন রড তৈরি হলে দৈনিক কী পরিমাণ রড তৈরি হয়,৬৬৬ মেট্রিক টন ৬৬৬ কেজি ৬৬৬ গ্রাম (প্রায়),এক মাসে ২০০০০ মেট্রিক টন রড তৈরি হলে দৈনিক কী পরিমাণ রড তৈরি হয়? একটি রড তৈরির কারখানায় ৫০০ জন শ্রমিক কাজ করে।,এক মাসে ২০০০০ মেট্রিক টন রড তৈরি হলে দৈনিক কী পরিমাণ রড তৈরি হয়? একটি রড তৈরির কারখানায় ৫০০ জন শ্রমিক কাজ করে। কারখানাটি বছরে ৩০০ দিন চলে।,এক মাসে ২০০০০ মেট্রিক টন রড তৈরি হলে দৈনিক কী পরিমাণ রড তৈরি হয়? একটি রড তৈরির কারখানায় ৫০০ জন শ্রমিক কাজ করে। কারখানাটি বছরে ৩০০ দিন চলে। প্রতিটি রড ৫০০ কিলোগ্রাম ওজনের।,এক মাসে ২০০০০ মেট্রিক টন রড তৈরি হলে দৈনিক কী পরিমাণ রড তৈরি হয়? একটি রড তৈরির কারখানায় ৫০০ জন শ্রমিক কাজ করে। কারখানাটি বছরে ৩০০ দিন চলে। প্রতিটি রড ৫০০ কিলোগ্রাম ওজনের। কারখানার প্রতিদিনের বিদ্যুৎ খরচ প্রায় ১০০০০০ টাকা।
একটি আয়তাকার বাগানের দৈর্ঘ্য ৬০ মিটার ও প্রস্থ ৪০ মিটার। এর ভিতরে ২ মিটার চওড়া রাস্তা থাকলে রাস্তার ক্ষেত্রফল কত,৩৮৪ বর্গ মিটার,একটি আয়তাকার বাগানের দৈর্ঘ্য ৬০ মিটার ও প্রস্থ ৪০ মিটার। এর ভিতরে ২ মিটার চওড়া রাস্তা থাকলে রাস্তার ক্ষেত্রফল কত? বাগানে মোট ২০টি ফলের গাছ আছে।,একটি আয়তাকার বাগানের দৈর্ঘ্য ৬০ মিটার ও প্রস্থ ৪০ মিটার। এর ভিতরে ২ মিটার চওড়া রাস্তা থাকলে রাস্তার ক্ষেত্রফল কত? বাগানে মোট ২০টি ফলের গাছ আছে। প্রতিটি গাছের গড় উচ্চতা ৮ মিটার।,একটি আয়তাকার বাগানের দৈর্ঘ্য ৬০ মিটার ও প্রস্থ ৪০ মিটার। এর ভিতরে ২ মিটার চওড়া রাস্তা থাকলে রাস্তার ক্ষেত্রফল কত? বাগানে মোট ২০টি ফলের গাছ আছে। প্রতিটি গাছের গড় উচ্চতা ৮ মিটার। বাগানটি তৈরি করতে মোট ১০০০ ঘন্টা সময় লেগেছিল।,একটি আয়তাকার বাগানের দৈর্ঘ্য ৬০ মিটার ও প্রস্থ ৪০ মিটার। এর ভিতরে ২ মিটার চওড়া রাস্তা থাকলে রাস্তার ক্ষেত্রফল কত? বাগানে মোট ২০টি ফলের গাছ আছে। প্রতিটি গাছের গড় উচ্চতা ৮ মিটার। বাগানটি তৈরি করতে মোট ১০০০ ঘন্টা সময় লেগেছিল। বাগানটির চারপাশের বেড়ার উচ্চতা ছিল ২ মিটার।
একটি ঘরের মেঝে কার্পেট দিয়ে মুড়তে প্রতি বর্গমিটারে ৭.৫০ টাকা দরে ১১০২.৫০ টাকা খরচ হলে ঘরের ক্ষেত্রফল কত,১৪৭ বর্গমিটার,একটি ঘরের মেঝে কার্পেট দিয়ে মুড়তে প্রতি বর্গমিটারে ৭.৫০ টাকা দরে ১১০২.৫০ টাকা খরচ হলে ঘরের ক্ষেত্রফল কত? কার্পেটটি কিনতে মোট ৫০০ টাকার একটি নোট দেওয়া হয়েছিল।,একটি ঘরের মেঝে কার্পেট দিয়ে মুড়তে প্রতি বর্গমিটারে ৭.৫০ টাকা দরে ১১০২.৫০ টাকা খরচ হলে ঘরের ক্ষেত্রফল কত? কার্পেটটি কিনতে মোট ৫০০ টাকার একটি নোট দেওয়া হয়েছিল। ঘরটিতে ৪টি জানালা আছে।,একটি ঘরের মেঝে কার্পেট দিয়ে মুড়তে প্রতি বর্গমিটারে ৭.৫০ টাকা দরে ১১০২.৫০ টাকা খরচ হলে ঘরের ক্ষেত্রফল কত? কার্পেটটি কিনতে মোট ৫০০ টাকার একটি নোট দেওয়া হয়েছিল। ঘরটিতে ৪টি জানালা আছে। প্রতিটি জানালার দৈর্ঘ্য ১.৫ মিটার।,একটি ঘরের মেঝে কার্পেট দিয়ে মুড়তে প্রতি বর্গমিটারে ৭.৫০ টাকা দরে ১১০২.৫০ টাকা খরচ হলে ঘরের ক্ষেত্রফল কত? কার্পেটটি কিনতে মোট ৫০০ টাকার একটি নোট দেওয়া হয়েছিল। ঘরটিতে ৪টি জানালা আছে। প্রতিটি জানালার দৈর্ঘ্য ১.৫ মিটার। ঘরটির সিলিংয়ের উচ্চতা ৩ মিটার।
একটি ঘরের দৈর্ঘ্য প্রস্থের তিনগুণ এবং ক্ষেত্রফল ১৪৭ বর্গমিটার হলে ঘরটির দৈর্ঘ্য কত,২১ মিটার,একটি ঘরের দৈর্ঘ্য প্রস্থের তিনগুণ এবং ক্ষেত্রফল ১৪৭ বর্গমিটার হলে ঘরটির দৈর্ঘ্য কত? এই ঘরটিতে তিনটি জানালা এবং দুটি দরজা আছে।,একটি ঘরের দৈর্ঘ্য প্রস্থের তিনগুণ এবং ক্ষেত্রফল ১৪৭ বর্গমিটার হলে ঘরটির দৈর্ঘ্য কত? এই ঘরটিতে তিনটি জানালা এবং দুটি দরজা আছে। প্রতিটি দরজার উচ্চতা ২ মিটার।,একটি ঘরের দৈর্ঘ্য প্রস্থের তিনগুণ এবং ক্ষেত্রফল ১৪৭ বর্গমিটার হলে ঘরটির দৈর্ঘ্য কত? এই ঘরটিতে তিনটি জানালা এবং দুটি দরজা আছে। প্রতিটি দরজার উচ্চতা ২ মিটার। ঘরটি তৈরি করতে মোট ৩০০ শ্রমিক দিন কাজ করেছেন।,একটি ঘরের দৈর্ঘ্য প্রস্থের তিনগুণ এবং ক্ষেত্রফল ১৪৭ বর্গমিটার হলে ঘরটির দৈর্ঘ্য কত? এই ঘরটিতে তিনটি জানালা এবং দুটি দরজা আছে। প্রতিটি দরজার উচ্চতা ২ মিটার। ঘরটি তৈরি করতে মোট ৩০০ শ্রমিক দিন কাজ করেছেন। ঘরটি তৈরি করতে মোট ১ লক্ষ ইঁট ব্যবহার করা হয়েছে।
একটি আয়তাকার বাগানের দৈর্ঘ্য ৫০ মি ও প্রস্থ ৩০ মি। এর ভিতরে ৩ মিটার চওড়া রাস্তা থাকলে রাস্তার ক্ষেত্রফল কত,৪৪৪ বর্গমিটার,একটি আয়তাকার বাগানের দৈর্ঘ্য ৫০ মি ও প্রস্থ ৩০ মি। এর ভিতরে ৩ মিটার চওড়া রাস্তা থাকলে রাস্তার ক্ষেত্রফল কত? এই বাগানের জন্য প্রতিদিন ১০ লিটার জল প্রয়োজন।,একটি আয়তাকার বাগানের দৈর্ঘ্য ৫০ মি ও প্রস্থ ৩০ মি। এর ভিতরে ৩ মিটার চওড়া রাস্তা থাকলে রাস্তার ক্ষেত্রফল কত? এই বাগানের জন্য প্রতিদিন ১০ লিটার জল প্রয়োজন। বাগানে মোট ৫০টি বিভিন্ন ধরনের উদ্ভিদ আছে।,একটি আয়তাকার বাগানের দৈর্ঘ্য ৫০ মি ও প্রস্থ ৩০ মি। এর ভিতরে ৩ মিটার চওড়া রাস্তা থাকলে রাস্তার ক্ষেত্রফল কত? এই বাগানের জন্য প্রতিদিন ১০ লিটার জল প্রয়োজন। বাগানে মোট ৫০টি বিভিন্ন ধরনের উদ্ভিদ আছে। বাগানটি তৈরি করতে মোট ১৫০০০০ টাকা খরচ হয়েছিল।,একটি আয়তাকার বাগানের দৈর্ঘ্য ৫০ মি ও প্রস্থ ৩০ মি। এর ভিতরে ৩ মিটার চওড়া রাস্তা থাকলে রাস্তার ক্ষেত্রফল কত? এই বাগানের জন্য প্রতিদিন ১০ লিটার জল প্রয়োজন। বাগানে মোট ৫০টি বিভিন্ন ধরনের উদ্ভিদ আছে। বাগানটি তৈরি করতে মোট ১৫০০০০ টাকা খরচ হয়েছিল। বাগানে মোট ২০টি ফুলের টব আছে।
রাস্তাবাদে বাগানের পরিসীমায় বেড়া দিতে প্রতি মিটারে ২৫ টাকা হিসেবে মোট কত খরচ হবে যদি রাস্তাবাদে বাগানের দৈর্ঘ্য ৪৪ মি ও প্রস্থ ২৪ মি হয়,৩৪০০ টাকা,রাস্তাবাদে বাগানের পরিসীমায় বেড়া দিতে প্রতি মিটারে ২৫ টাকা হিসেবে মোট কত খরচ হবে যদি রাস্তাবাদে বাগানের দৈর্ঘ্য ৪৪ মি ও প্রস্থ ২৪ মি হয়? বেড়াটি ৫ বছর স্থায়ী হবে বলে আশা করা যায়।,রাস্তাবাদে বাগানের পরিসীমায় বেড়া দিতে প্রতি মিটারে ২৫ টাকা হিসেবে মোট কত খরচ হবে যদি রাস্তাবাদে বাগানের দৈর্ঘ্য ৪৪ মি ও প্রস্থ ২৪ মি হয়? বেড়াটি ৫ বছর স্থায়ী হবে বলে আশা করা যায়। বেড়াটি তৈরি করতে মোট ১২০০টি পেরেক ব্যবহার করা হয়েছে।,রাস্তাবাদে বাগানের পরিসীমায় বেড়া দিতে প্রতি মিটারে ২৫ টাকা হিসেবে মোট কত খরচ হবে যদি রাস্তাবাদে বাগানের দৈর্ঘ্য ৪৪ মি ও প্রস্থ ২৪ মি হয়? বেড়াটি ৫ বছর স্থায়ী হবে বলে আশা করা যায়। বেড়াটি তৈরি করতে মোট ১২০০টি পেরেক ব্যবহার করা হয়েছে। প্রতিটি পেরেকের দাম ২ টাকা।,রাস্তাবাদে বাগানের পরিসীমায় বেড়া দিতে প্রতি মিটারে ২৫ টাকা হিসেবে মোট কত খরচ হবে যদি রাস্তাবাদে বাগানের দৈর্ঘ্য ৪৪ মি ও প্রস্থ ২৪ মি হয়? বেড়াটি ৫ বছর স্থায়ী হবে বলে আশা করা যায়। বেড়াটি তৈরি করতে মোট ১২০০টি পেরেক ব্যবহার করা হয়েছে। প্রতিটি পেরেকের দাম ২ টাকা। বেড়ার উচ্চতা ছিল ১.৫ মিটার।
একটি বাগানের বাইরে ২.৫ মিটার চওড়া রাস্তা থাকলে রাস্তার ক্ষেত্রফল কত যদি বাগানের দৈর্ঘ্য ৫০ মি ও প্রস্থ ৩৫ মি হয়,৪৫০ বর্গমিটার,একটি বাগানের বাইরে ২.৫ মিটার চওড়া রাস্তা থাকলে রাস্তার ক্ষেত্রফল কত যদি বাগানের দৈর্ঘ্য ৫০ মি ও প্রস্থ ৩৫ মি হয়? এই রাস্তার উপর দিয়ে প্রতিদিন প্রায় ১০০ জন মানুষ হেঁটে যায়।,একটি বাগানের বাইরে ২.৫ মিটার চওড়া রাস্তা থাকলে রাস্তার ক্ষেত্রফল কত যদি বাগানের দৈর্ঘ্য ৫০ মি ও প্রস্থ ৩৫ মি হয়? এই রাস্তার উপর দিয়ে প্রতিদিন প্রায় ১০০ জন মানুষ হেঁটে যায়। রাস্তাটি মোট ৭ দিনে তৈরি করা হয়েছিল।,একটি বাগানের বাইরে ২.৫ মিটার চওড়া রাস্তা থাকলে রাস্তার ক্ষেত্রফল কত যদি বাগানের দৈর্ঘ্য ৫০ মি ও প্রস্থ ৩৫ মি হয়? এই রাস্তার উপর দিয়ে প্রতিদিন প্রায় ১০০ জন মানুষ হেঁটে যায়। রাস্তাটি মোট ৭ দিনে তৈরি করা হয়েছিল। রাস্তার নির্মাণে মোট ২০০০০০ টাকা খরচ হয়েছে।,একটি বাগানের বাইরে ২.৫ মিটার চওড়া রাস্তা থাকলে রাস্তার ক্ষেত্রফল কত যদি বাগানের দৈর্ঘ্য ৫০ মি ও প্রস্থ ৩৫ মি হয়? এই রাস্তার উপর দিয়ে প্রতিদিন প্রায় ১০০ জন মানুষ হেঁটে যায়। রাস্তাটি মোট ৭ দিনে তৈরি করা হয়েছিল। রাস্তার নির্মাণে মোট ২০০০০০ টাকা খরচ হয়েছে। রাস্তাটি তৈরি করতে ৫ জন শ্রমিক কাজ করেছিল।
রাস্তাসহ বাগানের পরিসীমা ১৯০ মিটার হলে সমান পরিসীমা বিশিষ্ট বর্গাকার মাঠের ক্ষেত্রফল কত,২২৫৬.২৫ বর্গমিটার,রাস্তাসহ বাগানের পরিসীমা ১৯০ মিটার হলে সমান পরিসীমা বিশিষ্ট বর্গাকার মাঠের ক্ষেত্রফল কত? মাঠের মাঝখানে ২০ মিটার ব্যাসের একটি ফলের বাগান রয়েছে।,রাস্তাসহ বাগানের পরিসীমা ১৯০ মিটার হলে সমান পরিসীমা বিশিষ্ট বর্গাকার মাঠের ক্ষেত্রফল কত? মাঠের মাঝখানে ২০ মিটার ব্যাসের একটি ফলের বাগান রয়েছে। মাঠের এক কোণে একটি ৩০ মিটার উঁচু পতাকা রয়েছে।,রাস্তাসহ বাগানের পরিসীমা ১৯০ মিটার হলে সমান পরিসীমা বিশিষ্ট বর্গাকার মাঠের ক্ষেত্রফল কত? মাঠের মাঝখানে ২০ মিটার ব্যাসের একটি ফলের বাগান রয়েছে। মাঠের এক কোণে একটি ৩০ মিটার উঁচু পতাকা রয়েছে। মাঠটি প্রতিদিন ৫০০ জন খেলোয়াড় ব্যবহার করে।,রাস্তাসহ বাগানের পরিসীমা ১৯০ মিটার হলে সমান পরিসীমা বিশিষ্ট বর্গাকার মাঠের ক্ষেত্রফল কত? মাঠের মাঝখানে ২০ মিটার ব্যাসের একটি ফলের বাগান রয়েছে। মাঠের এক কোণে একটি ৩০ মিটার উঁচু পতাকা রয়েছে। মাঠটি প্রতিদিন ৫০০ জন খেলোয়াড় ব্যবহার করে। মাঠের চারপাশে ৮টি বসার জায়গা আছে।
একটি সামান্তরিকের ভূমি ৯০ গজ ও উচ্চতা ৫০ গজ হলে তার ক্ষেত্রফল কত,৪৫০০ বর্গগজ,একটি সামান্তরিকের ভূমি ৯০ গজ ও উচ্চতা ৫০ গজ হলে তার ক্ষেত্রফল কত? সামান্তরিকের একটি কোণের পরিমাপ ১২০ ডিগ্রি।,একটি সামান্তরিকের ভূমি ৯০ গজ ও উচ্চতা ৫০ গজ হলে তার ক্ষেত্রফল কত? সামান্তরিকের একটি কোণের পরিমাপ ১২০ ডিগ্রি। সামান্তরিকের বিপরীত বাহুগুলো ৪০ গজ দীর্ঘ।,একটি সামান্তরিকের ভূমি ৯০ গজ ও উচ্চতা ৫০ গজ হলে তার ক্ষেত্রফল কত? সামান্তরিকের একটি কোণের পরিমাপ ১২০ ডিগ্রি। সামান্তরিকের বিপরীত বাহুগুলো ৪০ গজ দীর্ঘ। সামান্তরিকটির পরিসীমা প্রায় ২৬০ গজ।,একটি সামান্তরিকের ভূমি ৯০ গজ ও উচ্চতা ৫০ গজ হলে তার ক্ষেত্রফল কত? সামান্তরিকের একটি কোণের পরিমাপ ১২০ ডিগ্রি। সামান্তরিকের বিপরীত বাহুগুলো ৪০ গজ দীর্ঘ। সামান্তরিকটির পরিসীমা প্রায় ২৬০ গজ। এর কর্ণদ্বয়ের দৈর্ঘ্য যথাক্রমে ৭০ গজ ও ৬০ গজ।
সামান্তরিকের মেঝে পাথর দ্বারা ঢাকতে কতটি পাথর লাগবে যদি মেঝের ক্ষেত্রফল ৪৫০০ বর্গগজ ও পাথরের ক্ষেত্রফল ৪ বর্গগজ হয়,১১২৫টি,সামান্তরিকের মেঝে পাথর দ্বারা ঢাকতে কতটি পাথর লাগবে যদি মেঝের ক্ষেত্রফল ৪৫০০ বর্গগজ ও পাথরের ক্ষেত্রফল ৪ বর্গগজ হয়? পাথরগুলো কিনতে মোট ৫০০০০ টাকা খরচ হয়েছে।,সামান্তরিকের মেঝে পাথর দ্বারা ঢাকতে কতটি পাথর লাগবে যদি মেঝের ক্ষেত্রফল ৪৫০০ বর্গগজ ও পাথরের ক্ষেত্রফল ৪ বর্গগজ হয়? পাথরগুলো কিনতে মোট ৫০০০০ টাকা খরচ হয়েছে। প্রতিটি পাথরের ওজন ২ কিলোগ্রাম।,সামান্তরিকের মেঝে পাথর দ্বারা ঢাকতে কতটি পাথর লাগবে যদি মেঝের ক্ষেত্রফল ৪৫০০ বর্গগজ ও পাথরের ক্ষেত্রফল ৪ বর্গগজ হয়? পাথরগুলো কিনতে মোট ৫০০০০ টাকা খরচ হয়েছে। প্রতিটি পাথরের ওজন ২ কিলোগ্রাম। মেঝের কাজটি সম্পন্ন করতে ৮ জন শ্রমিক কাজ করেছিল।,সামান্তরিকের মেঝে পাথর দ্বারা ঢাকতে কতটি পাথর লাগবে যদি মেঝের ক্ষেত্রফল ৪৫০০ বর্গগজ ও পাথরের ক্ষেত্রফল ৪ বর্গগজ হয়? পাথরগুলো কিনতে মোট ৫০০০০ টাকা খরচ হয়েছে। প্রতিটি পাথরের ওজন ২ কিলোগ্রাম। মেঝের কাজটি সম্পন্ন করতে ৮ জন শ্রমিক কাজ করেছিল। কাজটি শেষ করতে তাদের ১৫ দিন সময় লেগেছিল।
একটি বাগানের পরিসীমা ১২০ মিটার হলে চারদিকে বেড়া দিতে কত খরচ হবে যদি প্রতি মিটারে খরচ ৩১/৪ টাকা হয়,৯৩০ টাকা,একটি বাগানের পরিসীমা ১২০ মিটার হলে চারদিকে বেড়া দিতে কত খরচ হবে যদি প্রতি মিটারে খরচ ৩১/৪ টাকা হয়? বেড়াটি তৈরি করতে মোট ২৫টি খুঁটি ব্যবহার করা হবে।,একটি বাগানের পরিসীমা ১২০ মিটার হলে চারদিকে বেড়া দিতে কত খরচ হবে যদি প্রতি মিটারে খরচ ৩১/৪ টাকা হয়? বেড়াটি তৈরি করতে মোট ২৫টি খুঁটি ব্যবহার করা হবে। খুঁটিগুলো ১০ ফুট লম্বা।,একটি বাগানের পরিসীমা ১২০ মিটার হলে চারদিকে বেড়া দিতে কত খরচ হবে যদি প্রতি মিটারে খরচ ৩১/৪ টাকা হয়? বেড়াটি তৈরি করতে মোট ২৫টি খুঁটি ব্যবহার করা হবে। খুঁটিগুলো ১০ ফুট লম্বা। বেড়াটি তৈরি করতে মোট ২ দিন সময় লেগেছিল।,একটি বাগানের পরিসীমা ১২০ মিটার হলে চারদিকে বেড়া দিতে কত খরচ হবে যদি প্রতি মিটারে খরচ ৩১/৪ টাকা হয়? বেড়াটি তৈরি করতে মোট ২৫টি খুঁটি ব্যবহার করা হবে। খুঁটিগুলো ১০ ফুট লম্বা। বেড়াটি তৈরি করতে মোট ২ দিন সময় লেগেছিল। বেড়ার তারের মোট দৈর্ঘ্য ছিল ১৫০ মিটার।
৬০ মিটার দীর্ঘ আয়তাকার বাগানের দৈর্ঘ্য প্রস্থের ৩ গুণ হলে প্রস্থ কত,২০ মিটার,৬০ মিটার দীর্ঘ আয়তাকার বাগানের দৈর্ঘ্য প্রস্থের ৩ গুণ হলে প্রস্থ কত? এই বাগানের পরিচর্যার জন্য প্রতি মাসে ৫০০ টাকা খরচ হয়।,৬০ মিটার দীর্ঘ আয়তাকার বাগানের দৈর্ঘ্য প্রস্থের ৩ গুণ হলে প্রস্থ কত? এই বাগানের পরিচর্যার জন্য প্রতি মাসে ৫০০ টাকা খরচ হয়। বাগানটিতে মোট ৫০টি গাছের চারা রোপণ করা হয়েছে।,৬০ মিটার দীর্ঘ আয়তাকার বাগানের দৈর্ঘ্য প্রস্থের ৩ গুণ হলে প্রস্থ কত? এই বাগানের পরিচর্যার জন্য প্রতি মাসে ৫০০ টাকা খরচ হয়। বাগানটিতে মোট ৫০টি গাছের চারা রোপণ করা হয়েছে। প্রতিটি চারা কিনতে ১০০ টাকা খরচ হয়েছে।,৬০ মিটার দীর্ঘ আয়তাকার বাগানের দৈর্ঘ্য প্রস্থের ৩ গুণ হলে প্রস্থ কত? এই বাগানের পরিচর্যার জন্য প্রতি মাসে ৫০০ টাকা খরচ হয়। বাগানটিতে মোট ৫০টি গাছের চারা রোপণ করা হয়েছে। প্রতিটি চারা কিনতে ১০০ টাকা খরচ হয়েছে। বাগানে প্রতিদিন সকাল ১০টা থেকে বিকাল ৫টা পর্যন্ত কাজ করা হয়।
একটি বর্গক্ষেত্রের পরিসীমা ১৬০ মিটার হলে তার ক্ষেত্রফল কত,১৬০০ বর্গমিটার,একটি বর্গক্ষেত্রের পরিসীমা ১৬০ মিটার হলে তার ক্ষেত্রফল কত? বর্গক্ষেত্রের প্রতি পাশে ১০টি করে গাছ লাগানো হয়েছে।,একটি বর্গক্ষেত্রের পরিসীমা ১৬০ মিটার হলে তার ক্ষেত্রফল কত? বর্গক্ষেত্রের প্রতি পাশে ১০টি করে গাছ লাগানো হয়েছে। বর্গক্ষেত্রটির প্রতিটি বাহুর দৈর্ঘ্য ৪০ মিটার।,একটি বর্গক্ষেত্রের পরিসীমা ১৬০ মিটার হলে তার ক্ষেত্রফল কত? বর্গক্ষেত্রের প্রতি পাশে ১০টি করে গাছ লাগানো হয়েছে। বর্গক্ষেত্রটির প্রতিটি বাহুর দৈর্ঘ্য ৪০ মিটার। বর্গক্ষেত্রের মাঝখানে একটি ২০ মিটার উঁচু ফোয়ারা রয়েছে।,একটি বর্গক্ষেত্রের পরিসীমা ১৬০ মিটার হলে তার ক্ষেত্রফল কত? বর্গক্ষেত্রের প্রতি পাশে ১০টি করে গাছ লাগানো হয়েছে। বর্গক্ষেত্রটির প্রতিটি বাহুর দৈর্ঘ্য ৪০ মিটার। বর্গক্ষেত্রের মাঝখানে একটি ২০ মিটার উঁচু ফোয়ারা রয়েছে। ফোয়ারাটি প্রতিদিন ৫০০০ লিটার জল ব্যবহার করে।
"২ বছর পর জীবনের বয়স হবে, ২ বছর পূর্বে জীবনের বয়স যা ছিল তার দ্বিগুণ। ৩ বছর পর জীবনের বয়স যদি ৩ বছর পূর্বে জীবনের বয়সের সমান হয়, তবে কার বয়স বেশি, জীবনের নাকি জুলির?",দুইজনের বয়স সমান,"২ বছর পর জীবনের বয়স হবে, ২ বছর পূর্বে জীবনের বয়স যা ছিল তার দ্বিগুণ। ৩ বছর পর জীবনের বয়স যদি ৩ বছর পূর্বে জীবনের বয়সের সমান হয়, তবে কার বয়স বেশি, জীবনের নাকি জুলির? তাদের পরিবারের মোট সদস্য সংখ্যা ৫ জন।","২ বছর পর জীবনের বয়স হবে, ২ বছর পূর্বে জীবনের বয়স যা ছিল তার দ্বিগুণ। ৩ বছর পর জীবনের বয়স যদি ৩ বছর পূর্বে জীবনের বয়সের সমান হয়, তবে কার বয়স বেশি, জীবনের নাকি জুলির? তাদের পরিবারের মোট সদস্য সংখ্যা ৫ জন। জীবন প্রতিদিন ২ ঘণ্টা খেলাধুলা করে।","২ বছর পর জীবনের বয়স হবে, ২ বছর পূর্বে জীবনের বয়স যা ছিল তার দ্বিগুণ। ৩ বছর পর জীবনের বয়স যদি ৩ বছর পূর্বে জীবনের বয়সের সমান হয়, তবে কার বয়স বেশি, জীবনের নাকি জুলির? তাদের পরিবারের মোট সদস্য সংখ্যা ৫ জন। জীবন প্রতিদিন ২ ঘণ্টা খেলাধুলা করে। তার বার্ষিক পরীক্ষার নম্বর ছিল ৮৫।","২ বছর পর জীবনের বয়স হবে, ২ বছর পূর্বে জীবনের বয়স যা ছিল তার দ্বিগুণ। ৩ বছর পর জীবনের বয়স যদি ৩ বছর পূর্বে জীবনের বয়সের সমান হয়, তবে কার বয়স বেশি, জীবনের নাকি জুলির? তাদের পরিবারের মোট সদস্য সংখ্যা ৫ জন। জীবন প্রতিদিন ২ ঘণ্টা খেলাধুলা করে। তার বার্ষিক পরীক্ষার নম্বর ছিল ৮৫। তার উচ্চতা ৫ ফুট ২ ইঞ্চি।"
৫টি আপেলকে ৬ জন বালকের মাঝে সমানভাবে ভাগ করে দিতে হবে। কিভাবে? (বি: দ্র: প্রয়োজন হলে আপেলকে সর্বোচ্চ সমান ৩ টুকরাতে কাটা যাবে।),প্রতেকে পাবে ৫/৬ আপেল।অর্থাৎ ১টি আপেলের অর্ধেক +১টি আপেলের ১/৩ ভাগ।,৫টি আপেলকে ৬ জন বালকের মাঝে সমানভাবে ভাগ করে দিতে হবে। কিভাবে? (বি: দ্র: প্রয়োজন হলে আপেলকে সর্বোচ্চ সমান ৩ টুকরাতে কাটা যাবে।) আপেলগুলো কেনার জন্য মোট ২০০ টাকা খরচ হয়েছিল।,৫টি আপেলকে ৬ জন বালকের মাঝে সমানভাবে ভাগ করে দিতে হবে। কিভাবে? (বি: দ্র: প্রয়োজন হলে আপেলকে সর্বোচ্চ সমান ৩ টুকরাতে কাটা যাবে।) আপেলগুলো কেনার জন্য মোট ২০০ টাকা খরচ হয়েছিল। প্রতিটি আপেলের ওজন ছিল প্রায় ১৫০ গ্রাম।,৫টি আপেলকে ৬ জন বালকের মাঝে সমানভাবে ভাগ করে দিতে হবে। কিভাবে? (বি: দ্র: প্রয়োজন হলে আপেলকে সর্বোচ্চ সমান ৩ টুকরাতে কাটা যাবে।) আপেলগুলো কেনার জন্য মোট ২০০ টাকা খরচ হয়েছিল। প্রতিটি আপেলের ওজন ছিল প্রায় ১৫০ গ্রাম। আপেলগুলো একটি ১০ লিটারের ঝুড়িতে রাখা হয়েছিল।,৫টি আপেলকে ৬ জন বালকের মাঝে সমানভাবে ভাগ করে দিতে হবে। কিভাবে? (বি: দ্র: প্রয়োজন হলে আপেলকে সর্বোচ্চ সমান ৩ টুকরাতে কাটা যাবে।) আপেলগুলো কেনার জন্য মোট ২০০ টাকা খরচ হয়েছিল। প্রতিটি আপেলের ওজন ছিল প্রায় ১৫০ গ্রাম। আপেলগুলো একটি ১০ লিটারের ঝুড়িতে রাখা হয়েছিল। প্রতিটি বালকের বয়স ছিল ৮ বছর।
