Question,Answer,Explanation,Steps,Digit,Grade
2a+3b+5c থেকে -2a-3b-5c বিয়োগ কর,4a+6b+10c,বিয়োগ করলে চিহ্ন পরিবর্তিত হয়ে সবগুলো পদ যোগ হয়,২,-,six
-2xy এর সদৃশ পদ কোনটি,-3xy,কারণ উভয়ের আক্ষরিক অংশ xy একই,১,-,six
4xy ও 4yz পদ দুটি কি সদৃশ,না বিসদৃশ,কারণ আক্ষরিক অংশ xy এবং yz ভিন্ন,১,-,six
x এর সহগ -2 এবং y এর সহগ 3 হলে রাশিটি কী হবে,-2x+3y,এটি একটি সম্ভাব্য রাশি,১,-,six
5a+7b×x-3c÷y রাশিটিতে কয়টি পদ আছে,৩টি,পদগুলো হলো 5a এবং +7b×x এবং -3c÷y,৩,-,six
একটি সংখ্যার চারগুণ থেকে অপর একটি সংখ্যার তিনগুণ বিয়োগ করলে কী হয়,4x-3y,একটি সংখ্যা x ও অপরটি y ধরলে রাশিটি 4x-3y হয়,২,-,six
x এর দ্বিগুণের সাথে ৫ বিয়োগ করলে কী হবে,2x-5,x এর দ্বিগুণ 2x এবং তা থেকে ৫ বিয়োগ করলে 2x-5 হয়,১,-,six
12xy পদে xy এর সহগ কত,12,xy এর সাথে সাংখ্যিক গুণক হিসেবে ১২ আছে,১,২,six
x এর তিনগুণ এবং y এর দ্বিগুণের সমষ্টি কী,3x+2y,x এর তিনগুণ 3x এবং y এর দ্বিগুণ 2y। তাদের সমষ্টি 3x+2y,১,-,six
8x+5y রাশিতে y এর সহগ কত,5,y এর সাথে সাংখ্যিক গুণক হিসেবে ৫ আছে,১,১,six
x²-y² ও z²-x² রাশি দুটির যোগফল কত,z²-y²,যোগ করলে x² পদটি কাটাকাটি গিয়ে z²-y² থাকে,২,-,six
-7xy ও 5xy পদ দুটি কি সদৃশ,হ্যাঁ সদৃশ,কারণ এদের আক্ষরিক অংশ xy একই,১,-,six
3x² ও -7x² পদ দুটি কি সদৃশ,হ্যাঁ সদৃশ,কারণ এদের আক্ষরিক অংশ x² একই,১,-,six
x=2 y=-3 z=-4 হলে 3x-3y-3z এর মান কত,27,3(2)-3(-3)-3(-4) = 6+9+12 = 27,২,১,six
p=1 q=2 r=-3 হলে (-p)-(-2q)-(-3r) এর মান কত,-6,-1-(-4)-(-(-9)) = -1+4-9 = -6,৩,১,six
x=-1 y=-2 হলে x³+y³ এর মান কত,-9,(-1)³+(-2)³ = -1-8 = -9,২,১,six
x=6 y=2 হলে 2x-y এর মান কত,10,2(6)-2 = 12-2 = 10,২,১,six
7x³×x² রাশিতে x এর সূচক কত,5,x এর ঘাতগুলো যোগ হয়ে ৩+২=৫ হয়,১,-,six
x=1 হলে x²-1/x এর মান কত,0,মান বসালে (1²-1)/1 = 0/1 = 0 হয়,২,১,six
a=2 b=-1 হলে 5-ab+b² এর মান কত,8,5-2(-1)+(-1)² = 5+2+1 = 8,৩,১,six
8m²x2m³ এর মান কোনটি,16m⁵,সহগ ৮×২=১৬ এবং m এর ঘাত ২+৩=৫ হয়,১,-,six
a=1 b=2 হলে a²+b² এর মান কত,5,1²+2² = 1+4 = 5,২,১,six
-a-b থেকে a+b বিয়োগ কর,-2a-2b,(-a-b)-(a+b) = -a-b-a-b = -2a-2b,২,-,six
দৈনন্দিন জীবনে কোনো কিছুর মাপ-জোখ করাকে কী বলে,পরিমাপ,কোনো কিছুর মাপ-জোখ করাই হলো পরিমাপ,১,-,seven
মেট্রিক পদ্ধতিতে দৈর্ঘ্য পরিমাপের একক কী,মিটার,মেট্রিক পদ্ধতিতে দৈর্ঘ্য পরিমাপের মূল একক হলো মিটার,১,-,seven
মেট্রিক পদ্ধতিতে ওজনের একক কী,কিলোগ্রাম,মেট্রিক পদ্ধতিতে ওজনের একক হিসেবে কিলোগ্রাম ব্যবহৃত হয়,১,-,seven
তরল পদার্থের আয়তন পরিমাপের একক কী,লিটার,তরল পদার্থের আয়তন সাধারণত লিটার এককে মাপা হয়,১,-,seven
আয়তক্ষেত্রের ক্ষেত্রফল নির্ণয়ের সূত্র কী,দৈর্ঘ্য × প্রস্থ,আয়তক্ষেত্রের ক্ষেত্রফল হলো তার দৈর্ঘ্য এবং প্রস্থের গুণফল,১,-,seven
ত্রিভুজক্ষেত্রের ক্ষেত্রফল নির্ণয়ের সূত্র কী,(১/২) × ভূমি × উচ্চতা,ত্রিভুজের ক্ষেত্রফল হলো তার ভূমি ও উচ্চতার গুণফলের অর্ধেক,১,-,seven
সামান্তরিকক্ষেত্রের ক্ষেত্রফল নির্ণয়ের সূত্র কী,ভূমি × উচ্চতা,সামান্তরিকের ক্ষেত্রফল তার ভূমি এবং উচ্চতার গুণফল,১,-,seven
১ বর্গফুট সমান কত বর্গ সেন্টিমিটার,৯২৯ বর্গ সে.মি. (প্রায়),এক ফুট সমান ৩০.৪৮ সে.মি. তাই এক বর্গফুট সমান ৯২৯.০৩ বর্গ সে.মি.,১,৩,seven
একটি ঘনকের এক ধারের দৈর্ঘ্য ৩ মিটার হলে তার তলগুলোর ক্ষেত্রফল কত,৫৪ বর্গমিটার,ঘনকের ৬টি তল থাকে এবং প্রতিটি তলের ক্ষেত্রফল ৩×৩=৯ বর্গমিটার তাই মোট ক্ষেত্রফল ৬×৯=৫৪ বর্গমিটার,২,১,seven
একটি আয়তাকার বাগানের দৈর্ঘ্য প্রস্থের তিনগুণ এবং পরিসীমা ৪০০ মিটার হলে বাগানের দৈর্ঘ্য কত,১৫০ মিটার,ধরি প্রস্থ ক মিটার এবং দৈর্ঘ্য ৩ক মিটার। পরিসীমা ২(ক+৩ক) = ৮ক = ৪০০ মিটার। তাই ক=৫০ মিটার এবং দৈর্ঘ্য ১৫০ মিটার।,৩,৩,seven
একটি আয়তাকার বাগানের দৈর্ঘ্য ১৫০ মিটার ও প্রস্থ ৫০ মিটার হলে ক্ষেত্রফল কত,৭৫০০ বর্গমিটার,ক্ষেত্রফল = দৈর্ঘ্য × প্রস্থ = ১৫০ × ৫০ = ৭৫০০ বর্গমিটার,১,৩,seven
ল্যাটিন ভাষায় ডেসি অর্থ কী,দশমাংশ,ডেসি একটি ল্যাটিন শব্দ যার অর্থ দশমাংশ,১,-,seven
একটি জমির দৈর্ঘ্য ২০ মিটার ও প্রস্থ ১৫ মিটার হলে তার পরিসীমা কত,৭০ মিটার,পরিসীমা = ২ × (দৈর্ঘ্য + প্রস্থ) = ২ × (২০ + ১৫) = ৭০ মিটার,১,২,seven
জমির ভিতরে ২ মিটার চওড়া রাস্তা থাকলে রাস্তাবাদে জমির ক্ষেত্রফল কত,১৭৬ বর্গমিটার,রাস্তাবাদে দৈর্ঘ্য (২০-৪)=১৬ মি ও প্রস্থ (১৫-৪)=১১ মি। ক্ষেত্রফল ১৬×১১=১৭৬ বর্গমিটার।,২,২,seven
৪০৩৯০ সেন্টিমিটারকে কিলোমিটারে প্রকাশ কর,০.৪০৩৯ কি.মি.,১০০ সে.মি. = ১ মি এবং ১০০০ মি = ১ কি.মি.। সুতরাং ৪০৩৯০ সে.মি. = ৪০৩.৯ মি = ০.৪০৩৯ কি.মি.।,২,৫,seven
৫.৩৭ ডেকামিটার সমান কত মিটার,৫৩.৭ মিটার,১ ডেকামিটার = ১০ মিটার। সুতরাং ৫.৩৭ ডেকামিটার = ৫.৩৭ × ১০ = ৫৩.৭ মিটার।,১,৩,seven
৫.৩৭ ডেকামিটার সমান কত ডেসিমিটার,৫৩৭ ডেসিমিটার,১ ডেকামিটার = ১০০ ডেসিমিটার। সুতরাং ৫.৩৭ ডেকামিটার = ৫.৩৭ × ১০০ = ৫৩৭ ডেসিমিটার।,১,৩,seven
একটি ত্রিভুজের ভূমি ১০ মিটার ও উচ্চতা ৬ মিটার হলে ক্ষেত্রফল কত,৩০ বর্গ মিটার,ক্ষেত্রফল = (১/২) × ভূমি × উচ্চতা = (১/২) × ১০ × ৬ = ৩০ বর্গ মিটার।,২,২,seven
একটি ত্রিভুজের ভূমি ২৫ সে.মি. ও উচ্চতা ১৪ সে.মি. হলে ক্ষেত্রফল কত,১৭৫ বর্গ সে.মি.,ক্ষেত্রফল = (১/২) × ভূমি × উচ্চতা = (১/২) × ২৫ × ১৪ = ১৭৫ বর্গ সে.মি.।,২,২,seven
একটি আয়তাকার ক্ষেত্রের পরিসীমা ১ কিলোমিটার এবং দৈর্ঘ্য প্রস্থের ৩ গুণ হলে প্রস্থ কত,১২৫ মিটার,পরিসীমা ১০০০ মিটার। ২(ক+৩ক)=১০০০ বা ৮ক=১০০০। ক = ১২৫ মিটার।,৩,১,seven
একটি সামান্তরিকের ভূমি ৪০ মিটার ও উচ্চতা ৫০ মিটার হলে এর ক্ষেত্রফল কত,২০০০ বর্গমিটার,ক্ষেত্রফল = ভূমি × উচ্চতা = ৪০ × ৫০ = ২০০০ বর্গমিটার।,১,২,seven
একটি ঘনকের একধারের দৈর্ঘ্য ৪ মিটার হলে এর তলগুলোর ক্ষেত্রফল কত,৯৬ বর্গমিটার,তলগুলোর ক্ষেত্রফল = ৬ × (বাহুর দৈর্ঘ্য)² = ৬ × ৪² = ৯৬ বর্গমিটার।,২,১,seven
এক খন্ড জমিতে ৫০০ কেজি ৭০০ গ্রাম আলু হলে ১১ খন্ড জমিতে কত আলু হবে,৫ মেট্রিক টন ৫০৭ কেজি ৭০০ গ্রাম,মোট আলু = (৫০০ কেজি ৭০০ গ্রাম) × ১১ = ৫৫০০ কেজি ৭৭০০ গ্রাম যা হিসাব করলে হয় ৫ মে.টন ৫০৭ কেজি ৭০০ গ্রাম।,২,৪,seven
১৬ একর জমিতে ২৮ মেট্রিক টন ধান হলে প্রতি একর জমিতে কী পরিমাণ ধান ফলে,১ মেট্রিক টন ৭৫০ কেজি,২৮ মেট্রিক টন = ২৮০০০ কেজি। প্রতি একরে ফলে ২৮০০০/১৬ = ১৭৫০ কেজি যা ১ মে.টন ৭৫০ কেজির সমান।,২,২,seven
এক মাসে ২০০০০ মেট্রিক টন রড তৈরি হলে দৈনিক কী পরিমাণ রড তৈরি হয়,৬৬৬ মেট্রিক টন ৬৬৬ কেজি ৬৬৬ গ্রাম (প্রায়),দৈনিক উৎপাদন = ২০০০০/৩০ মেট্রিক টন যা হিসাব করলে ৬৬৬ মে.টন ৬৬৬ কেজি ৬৬৬ গ্রাম প্রায় হয়।,২,৫,seven
একদিনে ২০ কেজি ৪০০ গ্রাম ডাল বিক্রয় হলে এক মাসে কতটুকু ডাল বিক্রয় হবে,৬১২ কেজি,এক মাসে (৩০ দিনে) বিক্রয় হবে (২০ কেজি ৪০০ গ্রাম) × ৩০ = ৬০০ কেজি ১২০০০ গ্রাম = ৬১২ কেজি।,২,৪,seven
এক খন্ড জমিতে ২০ কেজি ৮৫০ গ্রাম সরিষা হলে ৭ খন্ড জমিতে কত সরিষা হবে,১৪৫ কেজি ৯৫০ গ্রাম,মোট সরিষা = (২০ কেজি ৮৫০ গ্রাম) × ৭ = ১৪০ কেজি ৫৯৫০ গ্রাম = ১৪৫ কেজি ৯৫০ গ্রাম।,২,৪,seven
একটি মগের আয়তন ১৫০০ ঘন সেন্টিমিটার হলে ২৭০ লিটারে কত মগ পানি হবে,১৮০ মগ,মগের আয়তন ১৫০০ ঘন সে.মি. = ১.৫ লিটার। মগের সংখ্যা = ২৭০ / ১.৫ = ১৮০টি।,২,৩,seven
দৈনিক ১.২৫ লিটার দুধ লাগলে প্রতি লিটার ৫২ টাকা দরে ৩০ দিনে কত টাকার দুধ লাগবে,১৯৫০ টাকা,দৈনিক খরচ = ১.২৫ × ৫২ = ৬৫ টাকা। ৩০ দিনের খরচ = ৬৫ × ৩০ = ১৯৫০ টাকা।,৩,২,seven
একটি আয়তাকার বাগানের দৈর্ঘ্য ৬০ মিটার ও প্রস্থ ৪০ মিটার। এর ভিতরে ২ মিটার চওড়া রাস্তা থাকলে রাস্তার ক্ষেত্রফল কত,৩৮৪ বর্গ মিটার,বাগানের ক্ষেত্রফল ২৪০০ বর্গমিটার। রাস্তাবাদে ক্ষেত্রফল ৫৬×৩৬=২০১৬ বর্গমিটার। রাস্তার ক্ষেত্রফল = ২৪০০-২০১৬=৩৮৪ বর্গমিটার।,২,২,seven
একটি ঘরের মেঝে কার্পেট দিয়ে মুড়তে প্রতি বর্গমিটারে ৭.৫০ টাকা দরে ১১০২.৫০ টাকা খরচ হলে ঘরের ক্ষেত্রফল কত,১৪৭ বর্গমিটার,ঘরের ক্ষেত্রফল = মোট খরচ / প্রতি বর্গমিটারের খরচ = ১১০২.৫০ / ৭.৫০ = ১৪৭ বর্গমিটার।,২,৪,seven
একটি ঘরের দৈর্ঘ্য প্রস্থের তিনগুণ এবং ক্ষেত্রফল ১৪৭ বর্গমিটার হলে ঘরটির দৈর্ঘ্য কত,২১ মিটার,ধরি প্রস্থ ক ও দৈর্ঘ্য ৩ক। ক্ষেত্রফল ৩ক²=১৪৭ বা ক²=৪৯। ক=৭ মিটার। দৈর্ঘ্য = ৩×৭ = ২১ মিটার।,৩,৩,seven
একটি আয়তাকার বাগানের দৈর্ঘ্য ৫০ মি ও প্রস্থ ৩০ মি। এর ভিতরে ৩ মিটার চওড়া রাস্তা থাকলে রাস্তার ক্ষেত্রফল কত,৪৪৪ বর্গমিটার,বাগানের ক্ষেত্রফল ১৫০০ বর্গমিটার। রাস্তাবাদে ক্ষেত্রফল ৪৪×২৪=১০৫৬ বর্গমিটার। রাস্তার ক্ষেত্রফল ১৫০০-১০৫৬=৪৪৪ বর্গমিটার।,২,২,seven
রাস্তাবাদে বাগানের পরিসীমায় বেড়া দিতে প্রতি মিটারে ২৫ টাকা হিসেবে মোট কত খরচ হবে যদি রাস্তাবাদে বাগানের দৈর্ঘ্য ৪৪ মি ও প্রস্থ ২৪ মি হয়,৩৪০০ টাকা,রাস্তাবাদে পরিসীমা ২(৪৪+২৪)=১৩৬ মিটার। মোট খরচ = ১৩৬ × ২৫ = ৩৪০০ টাকা।,২,৩,seven
যে চতুর্ভুজের বিপরীত বাহুগুলো পরস্পর সমান্তরাল তাকে কী বলে,সামান্তরিক,এটি সামান্তরিকের সংজ্ঞা,১,-,seven
একটি সামান্তরিকের ভূমি ৪০ মি ও উচ্চতা ৩০ মি হলে এর ক্ষেত্রফল কত,১২০০ বর্গমিটার,ক্ষেত্রফল = ভূমি × উচ্চতা = ৪০ × ৩০ = ১২০০ বর্গমিটার।,১,২,seven
একটি বর্গক্ষেত্রের ক্ষেত্রফল ১২০০ বর্গমিটার হলে তার পরিসীমা কত,১৩৮.৫৬ মিটার (প্রায়),বর্গক্ষেত্রের বাহু = √১২০০ ≈ ৩৪.৬৪ মিটার। পরিসীমা = ৪ × ৩৪.৬৪ = ১৩৮.৫৬ মিটার।,২,৩,seven
একটি সামান্তরিকের পরিসীমা ৩০০ মিটার। এর বাহুগুলো x ও 2x হলে x এর মান কত,50,পরিসীমা = x+2x+x+2x = 6x। প্রশ্নমতে 6x=300 তাই x=50।,২,৩,seven
সামান্তরিকের ভূমি ১০০ মিটার ও উচ্চতা ৫ মিটার হলে ক্ষেত্রফল কত,৫০০ বর্গমিটার,ক্ষেত্রফল = ভূমি × উচ্চতা = ১০০ × ৫ = ৫০০ বর্গমিটার।,১,৩,seven
৮০ মিটার ১৫০ মি.মি. কে কিলোমিটারে প্রকাশ কর,০.০৮০১৫ কি.মি.,৮০ মিটার = ০.০৮০ কি.মি. এবং ১৫০ মি.মি. = ০.০০০১৫ কি.মি.। যোগ করলে ০.০৮০১৫ কি.মি. হয়।,১,৩,seven
একটি বাগানের বাইরে ২.৫ মিটার চওড়া রাস্তা থাকলে রাস্তার ক্ষেত্রফল কত যদি বাগানের দৈর্ঘ্য ৫০ মি ও প্রস্থ ৩৫ মি হয়,৪৫০ বর্গমিটার,বাগানের ক্ষেত্রফল ১৭৫০ বর্গমিটার। রাস্তাসহ ক্ষেত্রফল ৫৫×৪০=২২০০ বর্গমিটার। রাস্তার ক্ষেত্রফল ২২০০-১৭৫০=৪৫০ বর্গমিটার।,২,২,seven
রাস্তাসহ বাগানের পরিসীমা ১৯০ মিটার হলে সমান পরিসীমা বিশিষ্ট বর্গাকার মাঠের ক্ষেত্রফল কত,২২৫৬.২৫ বর্গমিটার,বর্গাকার মাঠের বাহু = ১৯০/৪ = ৪৭.৫ মিটার। ক্ষেত্রফল = (৪৭.৫)² = ২২৫৬.২৫ বর্গমিটার।,২,৩,seven
১৮০০ ইঞ্চি সমান কত ফুট,১৫০ ফুট,১২ ইঞ্চি = ১ ফুট। সুতরাং ১৮০০ ইঞ্চি = ১৮০০/১২ = ১৫০ ফুট।,১,৪,seven
একটি সামান্তরিকের ভূমি ৯০ গজ ও উচ্চতা ৫০ গজ হলে তার ক্ষেত্রফল কত,৪৫০০ বর্গগজ,ক্ষেত্রফল = ভূমি × উচ্চতা = ৯০ × ৫০ = ৪৫০০ বর্গগজ।,১,৩,seven
সামান্তরিকের মেঝে পাথর দ্বারা ঢাকতে কতটি পাথর লাগবে যদি মেঝের ক্ষেত্রফল ৪৫০০ বর্গগজ ও পাথরের ক্ষেত্রফল ৪ বর্গগজ হয়,১১২৫টি,পাথরের সংখ্যা = মেঝের ক্ষেত্রফল / পাথরের ক্ষেত্রফল = ৪৫০০ / ৪ = ১১২৫টি।,২,৩,seven
একটি বর্গাকার ক্ষেত্রের দৈর্ঘ্য ২৩.৭৫ মিটার হলে তার ক্ষেত্রফল কত,৫৬৪.০৬২৫ বর্গমিটার,ক্ষেত্রফল = (২৩.৭৫)² = ৫৬৪.০৬২৫ বর্গমিটার।,১,৪,seven
একটি বর্গাকার ক্ষেত্রের দৈর্ঘ্য ২৩.৭৫ মিটার হলে তার পরিসীমা কত,৯৫ মিটার,পরিসীমা = ৪ × ২৩.৭৫ = ৯৫ মিটার।,১,৪,seven
একটি বাগানের দৈর্ঘ্য প্রস্থের ৭/৫ গুণ এবং ক্ষেত্রফল ৮৭৫ বর্গমিটার হলে বাগানটির দৈর্ঘ্য কত,৩৫ মিটার,ধরি প্রস্থ ক ও দৈর্ঘ্য ৭ক/৫। ক্ষেত্রফল ৭ক²/৫ = ৮৭৫ বা ক=২৫ মিটার। দৈর্ঘ্য = (৭/৫)×২৫=৩৫ মিটার।,৩,৩,seven
একটি বাগানের পরিসীমা ১২০ মিটার হলে চারদিকে বেড়া দিতে কত খরচ হবে যদি প্রতি মিটারে খরচ ৩১/৪ টাকা হয়,৯৩০ টাকা,মোট খরচ = ১২০ × (৩১/৪) = ৯৩০ টাকা।,২,৩,seven
৬০ মিটার দীর্ঘ আয়তাকার বাগানের দৈর্ঘ্য প্রস্থের ৩ গুণ হলে প্রস্থ কত,২০ মিটার,প্রস্থ = দৈর্ঘ্য / ৩ = ৬০ / ৩ = ২০ মিটার।,২,২,seven
একটি বর্গক্ষেত্রের পরিসীমা ১৬০ মিটার হলে তার ক্ষেত্রফল কত,১৬০০ বর্গমিটার,বর্গক্ষেত্রের বাহু = ১৬০/৪ = ৪০ মিটার। ক্ষেত্রফল = ৪০² = ১৬০০ বর্গমিটার।,১,৩,seven
একটি বাগানের ভিতরে ৩ মিটার চওড়া রাস্তা থাকলে রাস্তার ক্ষেত্রফল কত যদি বাগানের দৈর্ঘ্য ৬০ মি ও প্রস্থ ২০ মি হয়,৪৪৪ বর্গমিটার,বাগানের ক্ষেত্রফল ১২০০ বর্গমিটার। রাস্তাবাদে ক্ষেত্রফল ৫৪×১৪=৭৫৬ বর্গমিটার। রাস্তার ক্ষেত্রফল ১২০০-৭৫৬=৪৪৪ বর্গমিটার।,২,২,seven
আয়তক্ষেত্রের প্রস্থ x মিটার ও দৈর্ঘ্য প্রস্থের তিনগুণ হলে ক্ষেত্রফল x এর মাধ্যমে প্রকাশ কর,৩x² বর্গমিটার,দৈর্ঘ্য = ৩x মিটার। ক্ষেত্রফল = দৈর্ঘ্য × প্রস্থ = ৩x × x = ৩x² বর্গমিটার।,১,-,seven
আয়তক্ষেত্রের ক্ষেত্রফল ৭৬৮ বর্গমিটার ও দৈর্ঘ্য প্রস্থের তিনগুণ হলে পরিসীমা কত,১২৮ মিটার,৩x² = ৭৬৮ বা x=১৬ মিটার (প্রস্থ)। দৈর্ঘ্য=৪৮ মিটার। পরিসীমা=২(৪৮+১৬)=১২৮ মিটার।,৩,৩,seven
বর্গক্ষেত্র বাঁধাতে মোট কত পাথর লাগবে যদি বর্গক্ষেত্রের ক্ষেত্রফল ১০২৪ বর্গমিটার ও পাথরের ক্ষেত্রফল ০.১৬ বর্গমিটার হয়,৬৪০০ টি,পাথরের সংখ্যা = ১০২৪ / ০.১৬ = ৬৪০০ টি।,২,৪,seven
সোনার বারের দৈর্ঘ্য ২৫ সে.মি. কে মিলিমিটারে প্রকাশ কর,২৫০ মি.মি.,১ সে.মি. = ১০ মি.মি.। সুতরাং ২৫ সে.মি. = ২৫ × ১০ = ২৫০ মি.মি.।,১,২,seven
সোনার বারের আয়তন কত যদি এর দৈর্ঘ্য ২৫ সে.মি. প্রস্থ ২০ সে.মি. ও উচ্চতা ৫ সে.মি. হয়,২৫০০ ঘন সে.মি.,আয়তন = দৈর্ঘ্য × প্রস্থ × উচ্চতা = ২৫ × ২০ × ৫ = ২৫০০ ঘন সে.মি.।,৩,২,seven
সোনার বারের ওজন কত কিলোগ্রাম যদি এর আয়তন ২৫০০ ঘন সে.মি. হয় এবং সোনা ১৯.৩ গুণ ভারী হয়,৪৮.২৫ কিলোগ্রাম,পানির ওজন ২.৫ কেজি। সোনার বারের ওজন = ২.৫ × ১৯.৩ = ৪৮.২৫ কিলোগ্রাম।,২,৪,seven
আয়তক্ষেত্রের প্রস্থ দৈর্ঘ্যের কত অংশ যদি দৈর্ঘ্য প্রস্থের তিনগুণ হয়,33.33%,প্রস্থ ক এবং দৈর্ঘ্য ৩ক। অনুপাত = (ক/৩ক) × ১০০% = ৩৩.৩৩%।,১,-,seven
আয়তক্ষেত্রটির পরিসীমা ১২৮ মিটার হলে সমান পরিসীমা বিশিষ্ট বর্গক্ষেত্রের ক্ষেত্রফল কত,১০২৪ বর্গমিটার,বর্গক্ষেত্রের বাহু = ১২৮/৪ = ৩২ মিটার। ক্ষেত্রফল = ৩২² = ১০২৪ বর্গমিটার।,২,৩,seven
ত্রিভুজক্ষেত্রের ভূমি ৩৬ মিটার ও ক্ষেত্রফল ৪৩২ বর্গমিটার হলে উচ্চতা কত,২৪ মিটার,উচ্চতা = (২ × ক্ষেত্রফল) / ভূমি = (২ × ৪৩২) / ৩৬ = ২৪ মিটার।,২,৩,seven
আয়তাকার ক্ষেত্রের দৈর্ঘ্য ৩৬ মিটার ও প্রস্থ ১২ মিটার হলে সমান পরিসীমা বিশিষ্ট বর্গাকার ঘরের ক্ষেত্রফল কত,৫৭৬ বর্গমিটার,পরিসীমা = ২(৩৬+১২)=৯৬ মিটার। বর্গাকার ঘরের বাহু=৯৬/৪=২৪ মিটার। ক্ষেত্রফল = ২৪²=৫৭৬ বর্গমিটার।,২,৩,seven
একটি মাঠের দৈর্ঘ্য ৬৩ মিটার এবং প্রস্থ ৪৩ মিটার হলে এর ক্ষেত্রফল কত,২৭০৯ বর্গমিটার,ক্ষেত্রফল = দৈর্ঘ্য × প্রস্থ = ৬৩ × ৪৩ = ২৭০৯ বর্গমিটার।,১,২,seven
মাঠের ভিতরে ৩ মিটার চওড়া রাস্তা থাকলে রাস্তার ক্ষেত্রফল কত যদি মাঠের ক্ষেত্রফল ২৭০৯ বর্গমিটার ও রাস্তাবাদে ক্ষেত্রফল ২১০৯ বর্গমিটার হয়,৬০০ বর্গমিটার,রাস্তার ক্ষেত্রফল = ২৭০৯ - ২১০৯ = ৬০০ বর্গমিটার।,২,৩,seven
রাস্তাবাদে মাঠের পরিসীমা ১৮৮ মিটার হলে বেড়া দিতে প্রতি মিটারে ২৫০ টাকা হিসাবে মোট কত খরচ হবে,৪৭০০০ টাকা,মোট খরচ = ১৮৮ × ২৫০ = ৪৭০০০ টাকা।,২,৫,seven
সামান্তরিকের উচ্চতা ২০ মিটারকে ফুটে প্রকাশ কর,৬৫.৬১ ফুট (প্রায়),২০ মিটার ≈ ৭৮৭.৪ ইঞ্চি। ৭৮৭.৪ / ১২ ≈ ৬৫.৬১ ফুট।,১,২,seven
ত্রিভুজের উচ্চতা ১০ সে.মি. ও ক্ষেত্রফল ১০০ বর্গ সে.মি. হলে ভূমি কত,২০ সে.মি.,ভূমি = (২ × ক্ষেত্রফল) / উচ্চতা = (২ × ১০০) / ১০ = ২০ সে.মি.।,২,৩,seven
সামান্তরিকের সমান ক্ষেত্রফল বিশিষ্ট বর্গাকার ক্ষেত্রের পরিসীমা কত যদি সামান্তরিকের ক্ষেত্রফল ১৬০০ বর্গমিটার হয়,১৬০ মিটার,বর্গাকার ক্ষেত্রের বাহু = √১৬০০ = ৪০ মিটার। পরিসীমা = ৪ × ৪০ = ১৬০ মিটার।,২,৩,seven
১ ইঞ্চি সমান কত সেন্টিমিটার,২.৫৪ সে.মি.,এটি একটি প্রতিষ্ঠিত পরিমাপের রূপান্তর।,১,২,seven
যার দৈর্ঘ্য প্রস্থ ও উচ্চতা আছে তাকে কী বলে,ঘনবস্তু,ঘনবস্তু একটি ত্রিমাত্রিক বস্তু যার দৈর্ঘ্য প্রস্থ ও উচ্চতা বিদ্যমান।,১,-,seven
মিটারের আসল নমুনাটি কোথায় সংরক্ষিত আছে,ফ্রান্সের যাদুঘরে,ফ্রান্সের প্যারিসে ইন্টারন্যাশনাল ব্যুরো অফ ওয়েটস অ্যান্ড মেজার্স-এ এটি সংরক্ষিত আছে।,১,-,seven
কত ডিগ্রি সেলসিয়াস তাপমাত্রায় ১ ঘন সে.মি. বিশুদ্ধ পানির ওজন ১ গ্রাম,৪° সেলসিয়াস,৪° সেলসিয়াস তাপমাত্রায় পানির ঘনত্ব সবচেয়ে বেশি থাকে।,১,২,seven
ব্রিটিশ পদ্ধতিতে দৈর্ঘ্য পরিমাপের একক কী,ফুট,ব্রিটিশ পদ্ধতিতে গজ ফুট ইঞ্চি ইত্যাদি একক ব্যবহৃত হয়।,১,-,seven
উত্তর মেরু থেকে বিষুবরেখা পর্যন্ত দূরত্বের এক কোটি ভাগের এক ভাগকে কী বলে,মিটার,এটি মিটারের ঐতিহাসিক সংজ্ঞা।,১,-,seven
একটি সমবাহু ত্রিভুজের পরিসীমা ১২ সে.মি. হলে প্রতি বাহুর দৈর্ঘ্য কত,৪ সে.মি.,সমবাহু ত্রিভুজের সব বাহু সমান। প্রতি বাহুর দৈর্ঘ্য = ১২ / ৩ = ৪ সে.মি.।,১,২,seven
১ বর্গগজ সমান কত বর্গমিটার,০.৮৪ বর্গমিটার (প্রায়),১ গজ = ০.৯১৪৪ মিটার। ১ বর্গগজ = (০.৯১৪৪)² ≈ ০.৮৩৬ বর্গমিটার।,১,১,seven
১ লিটার ডিজেলে মোটরগাড়ি ৮০ কিলোমিটার গেলে ১ কিলোমিটার যেতে কত ডিজেল লাগবে,১২৫ মিলিলিটার,প্রয়োজনীয় ডিজেল = (১০/৮০) লিটার = ০.১২৫ লিটার = ১২৫ মিলিলিটার।,১,২,seven
একটি মগের আয়তন ১.৫ লিটার হলে ৪৫০ লিটারে কত মগ পানি হবে,৩০০ মগ,মগের সংখ্যা = ৪৫০ / ১.৫ = ৩০০।,২,৩,seven
একটি ঘরের দৈর্ঘ্য ৪ মি ও প্রস্থ ৩ মি হলে ক্ষেত্রফল কত,১২ বর্গমিটার,ক্ষেত্রফল = ৪ × ৩ = ১২ বর্গমিটার।,১,১,seven
১০ লিটারে কত গ্লাস পানি হবে যদি এক গ্লাসের আয়তন ০.২৫ লিটার হয়,৪০ গ্লাস,গ্লাসের সংখ্যা = ১০ / ০.২৫ = ৪০।,১,২,seven
